# Nmap 7.60 scan initiated Sun Apr 11 13:02:43 2021 as: nmap -sS -v -v -Pn -O -oN nmap_sS_v_v_Pn_O.txt unit-deb.pnj.ac.id
Nmap scan report for unit-deb.pnj.ac.id (103.36.14.100)
Host is up, received user-set (0.048s latency).
Scanned at 2021-04-11 13:02:56 WIB for 6s

PORT      STATE SERVICE              REASON
3826/tcp  open  wormux               syn-ack ttl 253
3827/tcp  open  netmpi               syn-ack ttl 253
3828/tcp  open  neteh                syn-ack ttl 253
3851/tcp  open  spectraport          syn-ack ttl 253
3869/tcp  open  ovsam-mgmt           syn-ack ttl 253
3871/tcp  open  avocent-adsap        syn-ack ttl 253
3878/tcp  open  fotogcad             syn-ack ttl 253
3880/tcp  open  igrs                 syn-ack ttl 253
3889/tcp  open  dandv-tester         syn-ack ttl 253
3905/tcp  open  mupdate              syn-ack ttl 253
3914/tcp  open  listcrt-port-2       syn-ack ttl 253
3918/tcp  open  pktcablemmcops       syn-ack ttl 253
3920/tcp  open  exasoftport1         syn-ack ttl 253
3945/tcp  open  emcads               syn-ack ttl 253
3971/tcp  open  lanrevserver         syn-ack ttl 253
3986/tcp  open  mapper-ws_ethd       syn-ack ttl 253
3995/tcp  open  iss-mgmt-ssl         syn-ack ttl 253
3998/tcp  open  dnx                  syn-ack ttl 253
4000/tcp  open  remoteanything       syn-ack ttl 253
4001/tcp  open  newoak               syn-ack ttl 253
4002/tcp  open  mlchat-proxy         syn-ack ttl 253
4003/tcp  open  pxc-splr-ft          syn-ack ttl 253
4004/tcp  open  pxc-roid             syn-ack ttl 253
4005/tcp  open  pxc-pin              syn-ack ttl 253
4006/tcp  open  pxc-spvr             syn-ack ttl 253
4045/tcp  open  lockd                syn-ack ttl 253
4111/tcp  open  xgrid                syn-ack ttl 253
4125/tcp  open  rww                  syn-ack ttl 253
4126/tcp  open  ddrepl               syn-ack ttl 253
4129/tcp  open  nuauth               syn-ack ttl 253
4224/tcp  open  xtell                syn-ack ttl 253
4242/tcp  open  vrml-multi-use       syn-ack ttl 253
4279/tcp  open  vrml-multi-use       syn-ack ttl 253
4321/tcp  open  rwhois               syn-ack ttl 253
4343/tcp  open  unicall              syn-ack ttl 253
4443/tcp  open  pharos               syn-ack ttl 253
4444/tcp  open  krb524               syn-ack ttl 253
4445/tcp  open  upnotifyp            syn-ack ttl 253
4446/tcp  open  n1-fwp               syn-ack ttl 253
4449/tcp  open  privatewire          syn-ack ttl 253
4550/tcp  open  gds-adppiw-db        syn-ack ttl 253
4567/tcp  open  tram                 syn-ack ttl 253
4662/tcp  open  edonkey              syn-ack ttl 253
4848/tcp  open  appserv-http         syn-ack ttl 253
4899/tcp  open  radmin               syn-ack ttl 253
4900/tcp  open  hfcs                 syn-ack ttl 253
4998/tcp  open  maybe-veritas        syn-ack ttl 253
5000/tcp  open  upnp                 syn-ack ttl 253
5001/tcp  open  commplex-link        syn-ack ttl 253
5002/tcp  open  rfe                  syn-ack ttl 253
5003/tcp  open  filemaker            syn-ack ttl 253
5004/tcp  open  avt-profile-1        syn-ack ttl 253
5009/tcp  open  airport-admin        syn-ack ttl 253
5030/tcp  open  surfpass             syn-ack ttl 253
5033/tcp  open  jtnetd-server        syn-ack ttl 253
5050/tcp  open  mmcc                 syn-ack ttl 253
5051/tcp  open  ida-agent            syn-ack ttl 253
5054/tcp  open  rlm-admin            syn-ack ttl 253
5060/tcp  open  sip                  syn-ack ttl 253
5061/tcp  open  sip-tls              syn-ack ttl 253
5080/tcp  open  onscreen             syn-ack ttl 253
5087/tcp  open  biotic               syn-ack ttl 253
5100/tcp  open  admd                 syn-ack ttl 253
5101/tcp  open  admdog               syn-ack ttl 253
5102/tcp  open  admeng               syn-ack ttl 253
5120/tcp  open  barracuda-bbs        syn-ack ttl 253
5190/tcp  open  aol                  syn-ack ttl 253
5200/tcp  open  targus-getdata       syn-ack ttl 253
5214/tcp  open  unknown              syn-ack ttl 253
5221/tcp  open  3exmp                syn-ack ttl 253
5222/tcp  open  xmpp-client          syn-ack ttl 253
5225/tcp  open  hp-server            syn-ack ttl 253
5226/tcp  open  hp-status            syn-ack ttl 253
5269/tcp  open  xmpp-server          syn-ack ttl 253
5280/tcp  open  xmpp-bosh            syn-ack ttl 253
5298/tcp  open  presence             syn-ack ttl 253
5357/tcp  open  wsdapi               syn-ack ttl 253
5405/tcp  open  pcduo                syn-ack ttl 253
5414/tcp  open  statusd              syn-ack ttl 253
5431/tcp  open  park-agent           syn-ack ttl 253
5432/tcp  open  postgresql           syn-ack ttl 253
5440/tcp  open  unknown              syn-ack ttl 253
5500/tcp  open  hotline              syn-ack ttl 253
5510/tcp  open  secureidprop         syn-ack ttl 253
5544/tcp  open  unknown              syn-ack ttl 253
5550/tcp  open  sdadmind             syn-ack ttl 253
5555/tcp  open  freeciv              syn-ack ttl 253
5560/tcp  open  isqlplus             syn-ack ttl 253
5566/tcp  open  westec-connect       syn-ack ttl 253
5631/tcp  open  pcanywheredata       syn-ack ttl 253
5633/tcp  open  beorl                syn-ack ttl 253
5666/tcp  open  nrpe                 syn-ack ttl 253
5678/tcp  open  rrac                 syn-ack ttl 253
5679/tcp  open  activesync           syn-ack ttl 253
5718/tcp  open  dpm                  syn-ack ttl 253
5730/tcp  open  unieng               syn-ack ttl 253
5800/tcp  open  vnc-http             syn-ack ttl 253
5801/tcp  open  vnc-http-1           syn-ack ttl 253
5802/tcp  open  vnc-http-2           syn-ack ttl 253
5810/tcp  open  unknown              syn-ack ttl 253
5811/tcp  open  unknown              syn-ack ttl 253
5815/tcp  open  unknown              syn-ack ttl 253
5822/tcp  open  unknown              syn-ack ttl 253
5825/tcp  open  unknown              syn-ack ttl 253
5850/tcp  open  unknown              syn-ack ttl 253
5859/tcp  open  wherehoo             syn-ack ttl 253
5862/tcp  open  unknown              syn-ack ttl 253
5877/tcp  open  unknown              syn-ack ttl 253
5900/tcp  open  vnc                  syn-ack ttl 253
5901/tcp  open  vnc-1                syn-ack ttl 253
5902/tcp  open  vnc-2                syn-ack ttl 253
5903/tcp  open  vnc-3                syn-ack ttl 253
5904/tcp  open  unknown              syn-ack ttl 253
5906/tcp  open  unknown              syn-ack ttl 253
5907/tcp  open  unknown              syn-ack ttl 253
5910/tcp  open  cm                   syn-ack ttl 253
5911/tcp  open  cpdlc                syn-ack ttl 253
5915/tcp  open  unknown              syn-ack ttl 253
5922/tcp  open  unknown              syn-ack ttl 253
5925/tcp  open  unknown              syn-ack ttl 253
5950/tcp  open  unknown              syn-ack ttl 253
5952/tcp  open  unknown              syn-ack ttl 253
5959/tcp  open  unknown              syn-ack ttl 253
5960/tcp  open  unknown              syn-ack ttl 253
5961/tcp  open  unknown              syn-ack ttl 253
5962/tcp  open  unknown              syn-ack ttl 253
5963/tcp  open  indy                 syn-ack ttl 253
5987/tcp  open  wbem-rmi             syn-ack ttl 253
5988/tcp  open  wbem-http            syn-ack ttl 253
5989/tcp  open  wbem-https           syn-ack ttl 253
5998/tcp  open  ncd-diag             syn-ack ttl 253
5999/tcp  open  ncd-conf             syn-ack ttl 253
6000/tcp  open  X11                  syn-ack ttl 253
6001/tcp  open  X11:1                syn-ack ttl 253
6002/tcp  open  X11:2                syn-ack ttl 253
6003/tcp  open  X11:3                syn-ack ttl 253
6004/tcp  open  X11:4                syn-ack ttl 253
6005/tcp  open  X11:5                syn-ack ttl 253
6006/tcp  open  X11:6                syn-ack ttl 253
6007/tcp  open  X11:7                syn-ack ttl 253
6009/tcp  open  X11:9                syn-ack ttl 253
6025/tcp  open  x11                  syn-ack ttl 253
6059/tcp  open  X11:59               syn-ack ttl 253
6100/tcp  open  synchronet-db        syn-ack ttl 253
6101/tcp  open  backupexec           syn-ack ttl 253
6106/tcp  open  isdninfo             syn-ack ttl 253
6112/tcp  open  dtspc                syn-ack ttl 253
6123/tcp  open  backup-express       syn-ack ttl 253
6129/tcp  open  unknown              syn-ack ttl 253
6156/tcp  open  unknown              syn-ack ttl 253
6346/tcp  open  gnutella             syn-ack ttl 253
6389/tcp  open  clariion-evr01       syn-ack ttl 253
6502/tcp  open  netop-rc             syn-ack ttl 253
6510/tcp  open  mcer-port            syn-ack ttl 253
6543/tcp  open  mythtv               syn-ack ttl 253
6547/tcp  open  powerchuteplus       syn-ack ttl 253
6565/tcp  open  unknown              syn-ack ttl 253
6566/tcp  open  sane-port            syn-ack ttl 253
6567/tcp  open  esp                  syn-ack ttl 253
6580/tcp  open  parsec-master        syn-ack ttl 253
6646/tcp  open  unknown              syn-ack ttl 253
6666/tcp  open  irc                  syn-ack ttl 253
6667/tcp  open  irc                  syn-ack ttl 253
6668/tcp  open  irc                  syn-ack ttl 253
6669/tcp  open  irc                  syn-ack ttl 253
6689/tcp  open  tsa                  syn-ack ttl 253
6692/tcp  open  unknown              syn-ack ttl 253
6699/tcp  open  napster              syn-ack ttl 253
6779/tcp  open  unknown              syn-ack ttl 253
6788/tcp  open  smc-http             syn-ack ttl 253
6789/tcp  open  ibm-db2-admin        syn-ack ttl 253
6792/tcp  open  unknown              syn-ack ttl 253
6839/tcp  open  unknown              syn-ack ttl 253
6881/tcp  open  bittorrent-tracker   syn-ack ttl 253
6901/tcp  open  jetstream            syn-ack ttl 253
6969/tcp  open  acmsoda              syn-ack ttl 253
7000/tcp  open  afs3-fileserver      syn-ack ttl 253
7001/tcp  open  afs3-callback        syn-ack ttl 253
7002/tcp  open  afs3-prserver        syn-ack ttl 253
7004/tcp  open  afs3-kaserver        syn-ack ttl 253
7007/tcp  open  afs3-bos             syn-ack ttl 253
7019/tcp  open  doceri-ctl           syn-ack ttl 253
7025/tcp  open  vmsvc-2              syn-ack ttl 253
7070/tcp  open  realserver           syn-ack ttl 253
7100/tcp  open  font-service         syn-ack ttl 253
7103/tcp  open  unknown              syn-ack ttl 253
7106/tcp  open  unknown              syn-ack ttl 253
7200/tcp  open  fodms                syn-ack ttl 253
7201/tcp  open  dlip                 syn-ack ttl 253
7402/tcp  open  rtps-dd-mt           syn-ack ttl 253
7435/tcp  open  unknown              syn-ack ttl 253
7443/tcp  open  oracleas-https       syn-ack ttl 253
7496/tcp  open  unknown              syn-ack ttl 253
7512/tcp  open  unknown              syn-ack ttl 253
7625/tcp  open  unknown              syn-ack ttl 253
7627/tcp  open  soap-http            syn-ack ttl 253
7676/tcp  open  imqbrokerd           syn-ack ttl 253
7741/tcp  open  scriptview           syn-ack ttl 253
7777/tcp  open  cbt                  syn-ack ttl 253
7778/tcp  open  interwise            syn-ack ttl 253
7800/tcp  open  asr                  syn-ack ttl 253
7911/tcp  open  unknown              syn-ack ttl 253
7920/tcp  open  unknown              syn-ack ttl 253
7921/tcp  open  unknown              syn-ack ttl 253
7937/tcp  open  nsrexecd             syn-ack ttl 253
7938/tcp  open  lgtomapper           syn-ack ttl 253
7999/tcp  open  irdmi2               syn-ack ttl 253
8000/tcp  open  http-alt             syn-ack ttl 253
8001/tcp  open  vcom-tunnel          syn-ack ttl 253
8002/tcp  open  teradataordbms       syn-ack ttl 253
8007/tcp  open  ajp12                syn-ack ttl 253
8008/tcp  open  http                 syn-ack ttl 253
8009/tcp  open  ajp13                syn-ack ttl 253
8010/tcp  open  xmpp                 syn-ack ttl 253
8011/tcp  open  unknown              syn-ack ttl 253
8021/tcp  open  ftp-proxy            syn-ack ttl 253
8022/tcp  open  oa-system            syn-ack ttl 253
8031/tcp  open  unknown              syn-ack ttl 253
8042/tcp  open  fs-agent             syn-ack ttl 253
8045/tcp  open  unknown              syn-ack ttl 253
8080/tcp  open  http-proxy           syn-ack ttl 253
8081/tcp  open  blackice-icecap      syn-ack ttl 253
8082/tcp  open  blackice-alerts      syn-ack ttl 253
8083/tcp  open  us-srv               syn-ack ttl 253
8084/tcp  open  unknown              syn-ack ttl 253
8085/tcp  open  unknown              syn-ack ttl 253
8086/tcp  open  d-s-n                syn-ack ttl 253
8087/tcp  open  simplifymedia        syn-ack ttl 253
8088/tcp  open  radan-http           syn-ack ttl 253
8089/tcp  open  unknown              syn-ack ttl 253
8090/tcp  open  opsmessaging         syn-ack ttl 253
8093/tcp  open  unknown              syn-ack ttl 253
8099/tcp  open  unknown              syn-ack ttl 253
8100/tcp  open  xprint-server        syn-ack ttl 253
8180/tcp  open  unknown              syn-ack ttl 253
8181/tcp  open  intermapper          syn-ack ttl 253
8192/tcp  open  sophos               syn-ack ttl 253
8193/tcp  open  sophos               syn-ack ttl 253
8194/tcp  open  sophos               syn-ack ttl 253
8200/tcp  open  trivnet1             syn-ack ttl 253
8222/tcp  open  unknown              syn-ack ttl 253
8254/tcp  open  unknown              syn-ack ttl 253
8290/tcp  open  unknown              syn-ack ttl 253
8291/tcp  open  unknown              syn-ack ttl 253
8292/tcp  open  blp3                 syn-ack ttl 253
8300/tcp  open  tmi                  syn-ack ttl 253
8333/tcp  open  bitcoin              syn-ack ttl 253
8383/tcp  open  m2mservices          syn-ack ttl 253
8400/tcp  open  cvd                  syn-ack ttl 253
8402/tcp  open  abarsd               syn-ack ttl 253
8443/tcp  open  https-alt            syn-ack ttl 253
8500/tcp  open  fmtp                 syn-ack ttl 253
8600/tcp  open  asterix              syn-ack ttl 253
8649/tcp  open  unknown              syn-ack ttl 253
8651/tcp  open  unknown              syn-ack ttl 253
8652/tcp  open  unknown              syn-ack ttl 253
8654/tcp  open  unknown              syn-ack ttl 253
8701/tcp  open  unknown              syn-ack ttl 253
8800/tcp  open  sunwebadmin          syn-ack ttl 253
8873/tcp  open  dxspider             syn-ack ttl 253
8888/tcp  open  sun-answerbook       syn-ack ttl 253
8899/tcp  open  ospf-lite            syn-ack ttl 253
8994/tcp  open  unknown              syn-ack ttl 253
9000/tcp  open  cslistener           syn-ack ttl 253
9001/tcp  open  tor-orport           syn-ack ttl 253
9002/tcp  open  dynamid              syn-ack ttl 253
9003/tcp  open  unknown              syn-ack ttl 253
9009/tcp  open  pichat               syn-ack ttl 253
9010/tcp  open  sdr                  syn-ack ttl 253
9011/tcp  open  unknown              syn-ack ttl 253
9040/tcp  open  tor-trans            syn-ack ttl 253
9050/tcp  open  tor-socks            syn-ack ttl 253
9071/tcp  open  unknown              syn-ack ttl 253
9080/tcp  open  glrpc                syn-ack ttl 253
9081/tcp  open  unknown              syn-ack ttl 253
9090/tcp  open  zeus-admin           syn-ack ttl 253
9091/tcp  open  xmltec-xmlmail       syn-ack ttl 253
9099/tcp  open  unknown              syn-ack ttl 253
9100/tcp  open  jetdirect            syn-ack ttl 253
9101/tcp  open  jetdirect            syn-ack ttl 253
9102/tcp  open  jetdirect            syn-ack ttl 253
9103/tcp  open  jetdirect            syn-ack ttl 253
9110/tcp  open  unknown              syn-ack ttl 253
9111/tcp  open  DragonIDSConsole     syn-ack ttl 253
9200/tcp  open  wap-wsp              syn-ack ttl 253
9207/tcp  open  wap-vcal-s           syn-ack ttl 253
9220/tcp  open  unknown              syn-ack ttl 253
9290/tcp  open  unknown              syn-ack ttl 253
9415/tcp  open  unknown              syn-ack ttl 253
9418/tcp  open  git                  syn-ack ttl 253
9485/tcp  open  unknown              syn-ack ttl 253
9500/tcp  open  ismserver            syn-ack ttl 253
9502/tcp  open  unknown              syn-ack ttl 253
9503/tcp  open  unknown              syn-ack ttl 253
9535/tcp  open  man                  syn-ack ttl 253
9575/tcp  open  unknown              syn-ack ttl 253
9593/tcp  open  cba8                 syn-ack ttl 253
9594/tcp  open  msgsys               syn-ack ttl 253
9595/tcp  open  pds                  syn-ack ttl 253
9618/tcp  open  condor               syn-ack ttl 253
9666/tcp  open  zoomcp               syn-ack ttl 253
9876/tcp  open  sd                   syn-ack ttl 253
9877/tcp  open  unknown              syn-ack ttl 253
9878/tcp  open  kca-service          syn-ack ttl 253
9898/tcp  open  monkeycom            syn-ack ttl 253
9900/tcp  open  iua                  syn-ack ttl 253
9917/tcp  open  unknown              syn-ack ttl 253
9929/tcp  open  nping-echo           syn-ack ttl 253
9943/tcp  open  unknown              syn-ack ttl 253
9944/tcp  open  unknown              syn-ack ttl 253
9968/tcp  open  unknown              syn-ack ttl 253
9998/tcp  open  distinct32           syn-ack ttl 253
9999/tcp  open  abyss                syn-ack ttl 253
10000/tcp open  snet-sensor-mgmt     syn-ack ttl 253
10001/tcp open  scp-config           syn-ack ttl 253
10002/tcp open  documentum           syn-ack ttl 253
10003/tcp open  documentum_s         syn-ack ttl 253
10004/tcp open  emcrmirccd           syn-ack ttl 253
10009/tcp open  swdtp-sv             syn-ack ttl 253
10010/tcp open  rxapi                syn-ack ttl 253
10012/tcp open  unknown              syn-ack ttl 253
10024/tcp open  unknown              syn-ack ttl 253
10025/tcp open  unknown              syn-ack ttl 253
10082/tcp open  amandaidx            syn-ack ttl 253
10180/tcp open  unknown              syn-ack ttl 253
10215/tcp open  unknown              syn-ack ttl 253
10243/tcp open  unknown              syn-ack ttl 253
10566/tcp open  unknown              syn-ack ttl 253
10616/tcp open  unknown              syn-ack ttl 253
10617/tcp open  unknown              syn-ack ttl 253
10621/tcp open  unknown              syn-ack ttl 253
10626/tcp open  unknown              syn-ack ttl 253
10628/tcp open  unknown              syn-ack ttl 253
10629/tcp open  unknown              syn-ack ttl 253
10778/tcp open  unknown              syn-ack ttl 253
11110/tcp open  sgi-soap             syn-ack ttl 253
11111/tcp open  vce                  syn-ack ttl 253
11967/tcp open  sysinfo-sp           syn-ack ttl 253
12000/tcp open  cce4x                syn-ack ttl 253
12174/tcp open  unknown              syn-ack ttl 253
12265/tcp open  unknown              syn-ack ttl 253
12345/tcp open  netbus               syn-ack ttl 253
13456/tcp open  unknown              syn-ack ttl 253
13722/tcp open  netbackup            syn-ack ttl 253
13782/tcp open  netbackup            syn-ack ttl 253
13783/tcp open  netbackup            syn-ack ttl 253
14000/tcp open  scotty-ft            syn-ack ttl 253
14238/tcp open  unknown              syn-ack ttl 253
14441/tcp open  unknown              syn-ack ttl 253
14442/tcp open  unknown              syn-ack ttl 253
15000/tcp open  hydap                syn-ack ttl 253
15002/tcp open  onep-tls             syn-ack ttl 253
15003/tcp open  unknown              syn-ack ttl 253
15004/tcp open  unknown              syn-ack ttl 253
15660/tcp open  bex-xr               syn-ack ttl 253
15742/tcp open  unknown              syn-ack ttl 253
16000/tcp open  fmsas                syn-ack ttl 253
16001/tcp open  fmsascon             syn-ack ttl 253
16012/tcp open  unknown              syn-ack ttl 253
16016/tcp open  unknown              syn-ack ttl 253
16018/tcp open  unknown              syn-ack ttl 253
16080/tcp open  osxwebadmin          syn-ack ttl 253
16113/tcp open  unknown              syn-ack ttl 253
16992/tcp open  amt-soap-http        syn-ack ttl 253
16993/tcp open  amt-soap-https       syn-ack ttl 253
17877/tcp open  unknown              syn-ack ttl 253
17988/tcp open  unknown              syn-ack ttl 253
18040/tcp open  unknown              syn-ack ttl 253
18101/tcp open  unknown              syn-ack ttl 253
18988/tcp open  unknown              syn-ack ttl 253
19101/tcp open  unknown              syn-ack ttl 253
19283/tcp open  keysrvr              syn-ack ttl 253
19315/tcp open  keyshadow            syn-ack ttl 253
19350/tcp open  unknown              syn-ack ttl 253
19780/tcp open  unknown              syn-ack ttl 253
19801/tcp open  unknown              syn-ack ttl 253
19842/tcp open  unknown              syn-ack ttl 253
20000/tcp open  dnp                  syn-ack ttl 253
20005/tcp open  btx                  syn-ack ttl 253
20031/tcp open  unknown              syn-ack ttl 253
20221/tcp open  unknown              syn-ack ttl 253
20222/tcp open  ipulse-ics           syn-ack ttl 253
20828/tcp open  unknown              syn-ack ttl 253
21571/tcp open  unknown              syn-ack ttl 253
22939/tcp open  unknown              syn-ack ttl 253
23502/tcp open  unknown              syn-ack ttl 253
24444/tcp open  unknown              syn-ack ttl 253
24800/tcp open  unknown              syn-ack ttl 253
25734/tcp open  unknown              syn-ack ttl 253
25735/tcp open  unknown              syn-ack ttl 253
26214/tcp open  unknown              syn-ack ttl 253
27000/tcp open  flexlm0              syn-ack ttl 253
27352/tcp open  unknown              syn-ack ttl 253
27353/tcp open  unknown              syn-ack ttl 253
27355/tcp open  unknown              syn-ack ttl 253
27356/tcp open  unknown              syn-ack ttl 253
27715/tcp open  unknown              syn-ack ttl 253
28201/tcp open  unknown              syn-ack ttl 253
30000/tcp open  ndmps                syn-ack ttl 253
30718/tcp open  unknown              syn-ack ttl 253
30951/tcp open  unknown              syn-ack ttl 253
31038/tcp open  unknown              syn-ack ttl 253
31337/tcp open  Elite                syn-ack ttl 253
32768/tcp open  filenet-tms          syn-ack ttl 253
32769/tcp open  filenet-rpc          syn-ack ttl 253
32770/tcp open  sometimes-rpc3       syn-ack ttl 253
32771/tcp open  sometimes-rpc5       syn-ack ttl 253
32772/tcp open  sometimes-rpc7       syn-ack ttl 253
32773/tcp open  sometimes-rpc9       syn-ack ttl 253
32774/tcp open  sometimes-rpc11      syn-ack ttl 253
32775/tcp open  sometimes-rpc13      syn-ack ttl 253
32776/tcp open  sometimes-rpc15      syn-ack ttl 253
32777/tcp open  sometimes-rpc17      syn-ack ttl 253
32778/tcp open  sometimes-rpc19      syn-ack ttl 253
32779/tcp open  sometimes-rpc21      syn-ack ttl 253
32780/tcp open  sometimes-rpc23      syn-ack ttl 253
32781/tcp open  unknown              syn-ack ttl 253
32782/tcp open  unknown              syn-ack ttl 253
32783/tcp open  unknown              syn-ack ttl 253
32784/tcp open  unknown              syn-ack ttl 253
32785/tcp open  unknown              syn-ack ttl 253
33354/tcp open  unknown              syn-ack ttl 253
33899/tcp open  unknown              syn-ack ttl 253
34571/tcp open  unknown              syn-ack ttl 253
34572/tcp open  unknown              syn-ack ttl 253
34573/tcp open  unknown              syn-ack ttl 253
35500/tcp open  unknown              syn-ack ttl 253
38292/tcp open  landesk-cba          syn-ack ttl 253
40193/tcp open  unknown              syn-ack ttl 253
40911/tcp open  unknown              syn-ack ttl 253
41511/tcp open  unknown              syn-ack ttl 253
42510/tcp open  caerpc               syn-ack ttl 253
44176/tcp open  unknown              syn-ack ttl 253
44442/tcp open  coldfusion-auth      syn-ack ttl 253
44443/tcp open  coldfusion-auth      syn-ack ttl 253
44501/tcp open  unknown              syn-ack ttl 253
45100/tcp open  unknown              syn-ack ttl 253
48080/tcp open  unknown              syn-ack ttl 253
49152/tcp open  unknown              syn-ack ttl 253
49153/tcp open  unknown              syn-ack ttl 253
49154/tcp open  unknown              syn-ack ttl 253
49155/tcp open  unknown              syn-ack ttl 253
49156/tcp open  unknown              syn-ack ttl 253
49157/tcp open  unknown              syn-ack ttl 253
49158/tcp open  unknown              syn-ack ttl 253
49159/tcp open  unknown              syn-ack ttl 253
49160/tcp open  unknown              syn-ack ttl 253
49161/tcp open  unknown              syn-ack ttl 253
49163/tcp open  unknown              syn-ack ttl 253
49165/tcp open  unknown              syn-ack ttl 253
49167/tcp open  unknown              syn-ack ttl 253
49175/tcp open  unknown              syn-ack ttl 253
49176/tcp open  unknown              syn-ack ttl 253
49400/tcp open  compaqdiag           syn-ack ttl 253
49999/tcp open  unknown              syn-ack ttl 253
50000/tcp open  ibm-db2              syn-ack ttl 253
50001/tcp open  unknown              syn-ack ttl 253
50002/tcp open  iiimsf               syn-ack ttl 253
50003/tcp open  unknown              syn-ack ttl 253
50006/tcp open  unknown              syn-ack ttl 253
50300/tcp open  unknown              syn-ack ttl 253
50389/tcp open  unknown              syn-ack ttl 253
50500/tcp open  unknown              syn-ack ttl 253
50636/tcp open  unknown              syn-ack ttl 253
50800/tcp open  unknown              syn-ack ttl 253
51103/tcp open  unknown              syn-ack ttl 253
51493/tcp open  unknown              syn-ack ttl 253
52673/tcp open  unknown              syn-ack ttl 253
52822/tcp open  unknown              syn-ack ttl 253
52848/tcp open  unknown              syn-ack ttl 253
52869/tcp open  unknown              syn-ack ttl 253
54045/tcp open  unknown              syn-ack ttl 253
54328/tcp open  unknown              syn-ack ttl 253
55055/tcp open  unknown              syn-ack ttl 253
55056/tcp open  unknown              syn-ack ttl 253
55555/tcp open  unknown              syn-ack ttl 253
55600/tcp open  unknown              syn-ack ttl 253
56737/tcp open  unknown              syn-ack ttl 253
56738/tcp open  unknown              syn-ack ttl 253
57294/tcp open  unknown              syn-ack ttl 253
57797/tcp open  unknown              syn-ack ttl 253
58080/tcp open  unknown              syn-ack ttl 253
60020/tcp open  unknown              syn-ack ttl 253
60443/tcp open  unknown              syn-ack ttl 253
61532/tcp open  unknown              syn-ack ttl 253
61900/tcp open  unknown              syn-ack ttl 253
62078/tcp open  iphone-sync          syn-ack ttl 253
63331/tcp open  unknown              syn-ack ttl 253
64623/tcp open  unknown              syn-ack ttl 253
64680/tcp open  unknown              syn-ack ttl 253
65000/tcp open  unknown              syn-ack ttl 253
65129/tcp open  unknown              syn-ack ttl 253
65389/tcp open  unknown              syn-ack ttl 253
Warning: OSScan results may be unreliable because we could not find at least 1 open and 1 closed port
OS fingerprint not ideal because: Missing a closed TCP port so results incomplete
No OS matches for host
TCP/IP fingerprint:
SCAN(V=7.60%E=4%D=4/11%OT=1%CT=%CU=%PV=N%G=N%TM=60729116%P=x86_64-pc-linux-gnu)
SEQ(SP=103%GCD=1%ISR=10E%TI=RI%CI=RI%TS=A)
OPS(O1=M578NW2ST11%O2=M578NW2ST11%O3=M578NW2NNT11%O4=M578NW2ST11%O5=M578NW2ST11%O6=M578ST11)
WIN(W1=1068%W2=1068%W3=780%W4=648%W5=648%W6=31B)
ECN(R=Y%DF=Y%TG=FF%W=1068%O=M578NW2SLL%CC=Y%Q=)
T1(R=Y%DF=Y%TG=FF%S=O%A=S+%F=AS%RD=0%Q=)
T2(R=N)
T3(R=N)
T4(R=Y%DF=Y%TG=FF%W=0%S=A%A=S%F=AR%O=%RD=B13B1084%Q=)
T5(R=Y%DF=Y%TG=FF%W=31B%S=O%A=S+%F=AS%O=M578NW2ST11%RD=0%Q=)
T6(R=Y%DF=Y%TG=FF%W=0%S=A%A=S%F=AR%O=%RD=B13B1084%Q=)
U1(R=N)
IE(R=N)

Uptime guess: 37.191 days (since Fri Mar  5 08:28:23 2021)
TCP Sequence Prediction: Difficulty=261 (Good luck!)
IP ID Sequence Generation: Randomized

Read data files from: /usr/bin/../share/nmap
OS detection performed. Please report any incorrect results at https://nmap.org/submit/ .
# Nmap done at Sun Apr 11 13:03:02 2021 -- 1 IP address (1 host up) scanned in 19.50 seconds
