# Nmap 7.60 scan initiated Sun Apr 11 13:02:43 2021 as: nmap -sS -v -v -Pn -O -oN nmap_sS_v_v_Pn_O.txt unit-deb.pnj.ac.id
Nmap scan report for unit-deb.pnj.ac.id (103.36.14.100)
Host is up, received user-set (0.048s latency).
Scanned at 2021-04-11 13:02:56 WIB for 6s

PORT      STATE SERVICE              REASON
801/tcp   open  device               syn-ack ttl 253
808/tcp   open  ccproxy-http         syn-ack ttl 253
843/tcp   open  unknown              syn-ack ttl 253
873/tcp   open  rsync                syn-ack ttl 253
880/tcp   open  unknown              syn-ack ttl 253
888/tcp   open  accessbuilder        syn-ack ttl 253
898/tcp   open  sun-manageconsole    syn-ack ttl 253
900/tcp   open  omginitialrefs       syn-ack ttl 253
901/tcp   open  samba-swat           syn-ack ttl 253
902/tcp   open  iss-realsecure       syn-ack ttl 253
903/tcp   open  iss-console-mgr      syn-ack ttl 253
911/tcp   open  xact-backup          syn-ack ttl 253
912/tcp   open  apex-mesh            syn-ack ttl 253
981/tcp   open  unknown              syn-ack ttl 253
987/tcp   open  unknown              syn-ack ttl 253
990/tcp   open  ftps                 syn-ack ttl 253
992/tcp   open  telnets              syn-ack ttl 253
993/tcp   open  imaps                syn-ack ttl 253
995/tcp   open  pop3s                syn-ack ttl 253
999/tcp   open  garcon               syn-ack ttl 253
1000/tcp  open  cadlock              syn-ack ttl 253
1001/tcp  open  webpush              syn-ack ttl 253
1002/tcp  open  windows-icfw         syn-ack ttl 253
1007/tcp  open  unknown              syn-ack ttl 253
1009/tcp  open  unknown              syn-ack ttl 253
1010/tcp  open  surf                 syn-ack ttl 253
1011/tcp  open  unknown              syn-ack ttl 253
1021/tcp  open  exp1                 syn-ack ttl 253
1022/tcp  open  exp2                 syn-ack ttl 253
1023/tcp  open  netvenuechat         syn-ack ttl 253
1024/tcp  open  kdm                  syn-ack ttl 253
1025/tcp  open  NFS-or-IIS           syn-ack ttl 253
1026/tcp  open  LSA-or-nterm         syn-ack ttl 253
1027/tcp  open  IIS                  syn-ack ttl 253
1028/tcp  open  unknown              syn-ack ttl 253
1029/tcp  open  ms-lsa               syn-ack ttl 253
1030/tcp  open  iad1                 syn-ack ttl 253
1031/tcp  open  iad2                 syn-ack ttl 253
1032/tcp  open  iad3                 syn-ack ttl 253
1033/tcp  open  netinfo              syn-ack ttl 253
1034/tcp  open  zincite-a            syn-ack ttl 253
1035/tcp  open  multidropper         syn-ack ttl 253
1036/tcp  open  nsstp                syn-ack ttl 253
1037/tcp  open  ams                  syn-ack ttl 253
