Attribute_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Synonyms,Preferred_Abbreviation,Relation_ID,Num_Relation_ID,Entity_Name,PK_Flag,FK_Flag,Relation_Name,Sequence,T_Size,T_Precision,T_Scale,Data_Source
"LAUNDRY_UMUM",888959AC-8CA7-9978-B019-615D9C289993,94,,EE71B636-1F75-15A6-CE3F-ED58390218CC,70,Y,Logical Type,,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,,,,,"BANGUNAN",,,,9,1,,,,
"LEMARI_PAKAIAN",21A728ED-ED6E-C1B8-783C-79586E0FFB73,95,,8EDB0D45-1E5F-130C-2D9D-F27B2D53D62F,71,Y,Logical Type,,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,,,,,"FASILITAS_KAMAR",,,,5,1,,,,
"MEJA_KURSI",CD3C8632-28D4-DAC4-C036-7F1F12548F65,96,,8EDB0D45-1E5F-130C-2D9D-F27B2D53D62F,71,Y,Logical Type,,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,,,,,"FASILITAS_KAMAR",,,,6,1,,,,
"NAMA",58735BC0-CE65-8EDD-AE6D-46204B230141,97,,EE71B636-1F75-15A6-CE3F-ED58390218CC,70,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,"BANGUNAN",,,,2,40,,,,
"NAMA",2D2BBD43-63BA-EB24-7228-11E586407A5E,98,,184A5B00-2C96-45D4-8968-52E147C38BDC,74,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,"PENYEWA",,,,2,40,,,,
"NAMA",0EEBC26B-22D3-9427-BFA0-75809FBF7834,99,,77E2578E-8A67-A2D7-D86E-ACD9B1988F7A,73,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,"KARYAWAN",,,,2,40,,,,
"NO_HP",4479F51C-38F4-4C7C-9F82-9EB9C16D1100,100,,184A5B00-2C96-45D4-8968-52E147C38BDC,74,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,"PENYEWA",,,,5,13,,,,
"NO_HP",0B8B5E93-AD5F-D08C-E0F5-BD601FAEED67,101,,77E2578E-8A67-A2D7-D86E-ACD9B1988F7A,73,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,"KARYAWAN",,,,5,13,,,,
"STATUS_BAYAR",6F3AC1AD-379E-DF52-A28E-1E23BAD110AA,102,,73921090-F5CA-5C97-AA52-0FE24B90CA76,75,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,"RIWAYAT_SEWA",,,,4,10,,,,
"TEMPAT_PARKIR",E3A81BE7-563B-CB1B-BB51-256835E5F82D,103,,EE71B636-1F75-15A6-CE3F-ED58390218CC,70,Y,Logical Type,,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,,,,,"BANGUNAN",,,,5,1,,,,
"TGL_AKHIR_SEWA",B14A2EDA-AC27-6CE5-E6C4-8FFFD18B39FC,104,,73921090-F5CA-5C97-AA52-0FE24B90CA76,75,Y,Logical Type,,,,,DOM3000004,1,LOGDT007,15,,,,,,,,,N,,Date,,,,,,,,"RIWAYAT_SEWA",,,,3,,,,,
"TGL_AWAL_SEWA",ACD72FDC-106F-7656-F766-DE04D1998126,105,,73921090-F5CA-5C97-AA52-0FE24B90CA76,75,Y,Logical Type,,,,,DOM3000004,1,LOGDT007,15,,,,,,,,,N,,Date,,,,,,,,"RIWAYAT_SEWA",,,,2,,,,,
"TGL_BAYAR",04F71436-E001-419C-F3C3-45BCB3D9D67E,106,,73921090-F5CA-5C97-AA52-0FE24B90CA76,75,N,Logical Type,,,,,DOM3000004,1,LOGDT007,15,,,,,,,,,N,,Date,,,,,,,,"RIWAYAT_SEWA",,,,5,,,,,
"TGL_LAHIR",0DFFE692-2D61-8094-E579-FC5C25789B88,107,,77E2578E-8A67-A2D7-D86E-ACD9B1988F7A,73,Y,Logical Type,,,,,DOM3000004,1,LOGDT007,15,,,,,,,,,N,,Date,,,,,,,,"KARYAWAN",,,,4,,,,,
"TGL_LAHIR",C24D5A58-5765-8E7C-DEFA-2C513986870A,108,,184A5B00-2C96-45D4-8968-52E147C38BDC,74,Y,Logical Type,,,,,DOM3000004,1,LOGDT007,15,,,,,,,,,N,,Date,,,,,,,,"PENYEWA",,,,4,,,,,
"UKURAN_KAMAR",B5D7107F-2A20-A523-C918-3C3B8BD698D8,109,,92DD10D6-EA39-ED32-AFC3-1A9826A2D92C,72,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,"KAMAR",,,,2,10,,,,
"WC_PRIBADI",3551BAFE-D0C3-6F97-1813-7654B94C23A4,110,,8EDB0D45-1E5F-130C-2D9D-F27B2D53D62F,71,Y,Logical Type,,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,,,,,"FASILITAS_KAMAR",,,,4,1,,,,
"WC_UMUM",2C37A1D4-921A-C82B-88B5-F07438EFBD2A,111,,EE71B636-1F75-15A6-CE3F-ED58390218CC,70,Y,Logical Type,,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,,,,,"BANGUNAN",,,,7,1,,,,
"WIFI_UMUM",E6997815-13AC-2082-0D20-EFE8459E706E,112,,EE71B636-1F75-15A6-CE3F-ED58390218CC,70,Y,Logical Type,,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,,,,,"BANGUNAN",,,,6,1,,,,
"KECAMATAN",35320954-E0EE-3A56-E998-5DDF0EF3ED1D,113,,EE71B636-1F75-15A6-CE3F-ED58390218CC,70,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,"BANGUNAN",,,,4,20,,,,
"ID_BANGUNAN",869B44C2-67B6-34AF-16D6-D018369E6CFE,114,,92DD10D6-EA39-ED32-AFC3-1A9826A2D92C,72,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,AFA39EF7-0CD3-DBF9-AE6B-12EE9203A00A,124,"KAMAR",,F,"Relation_16",7,5,,,,
"ID_KARYAWAN",80C5A340-80CA-961A-A2D8-0F1F259E6C25,115,,EE71B636-1F75-15A6-CE3F-ED58390218CC,70,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,E75AFF69-B60E-F1C1-AD66-903A7DCE5DA4,125,"BANGUNAN",,F,"Relation_17",10,5,,,,
